American Options Exchange	AOE	?	?
American Stock Exchange	AMEX	?	?
Athens Stock Exchange	ATHEX	Greece	Athens
Australian Securities Exchange	?	Australia	?
BM&F Bovespa	?	Brazil	Ṣo Paulo
BME Spanish Exchanges	?	Spain	Madrid
Beirut Stock Exchange	BSE	?	? 
Bombay Stock Exchange	?	India	Mumba
Boston Options Exchange	BOX	US	Boston
Boston Stock Exchange	BSE	US	Boston
Chicago Stock Exchange	MID	US	Chicago
Cincinnati Stock Exchange	CIN	US	Cincinnati
Electronic Communication Network	ECN	?	? 
Euronext	?	Holland	Amsterdam
Frankfurt Stock Exchange	?	Germany	Frankfurt
Hong Kong Stock Exchange	?	Hong Kong	Hong Kong
International Securities Exchange	ISO	?	?
JSE Limited	?	South Africa	Johannesburg
Korea Exchange	?	South Korea	Seoul
London Stock Exchange	?	UK	London 
Moscow Exchange	?	Russia	Moscow
Nasdaq	NASDAQ	US	New York City
National Stock Exchange of India	?	India	Mumbai
New York Stock Exchange	NYSE	US	New York City
Over The Counter	OTC	?	?
Pacific Stock Exchange	PSE	?	?
Philadelphia Options Exchange	PHO	?	?
Philadelphia Stock Exchange	XPH	?	?
SIX Swiss Exchange	?	Switzerland	Zurich
Shanghai Stock Exchange	?	China	Shanghai  
Shenzhen Stock Exchange	?	China	Shenzhen
Singapore Exchange	?	Singapore	Singapore
Small Order Execution System	SOES	?	?
Taiwan Stock Exchange	?	Taiwan	Taipei
Tokyo Stock Exchange	TSE	Japan	Tokyo
Toronto Stock Exchange	?	Canada	Toronto
